공동주택명,주소,세대수,구
용문동 592-18,대전광역시 서구 용문로 69,85,서구
모아드림,대전광역시 서구 가수원로 83,168,서구
도안리슈빌,대전광역시 서구 도안동로 123,1236,서구
린풀하우스,대전광역시 서구 도안동로 77,1691,서구
시티팰리스,대전광역시 서구 계룡로394번길 50,64,서구
포도힐 6차,대전광역시 서구 도산로 161,154,서구
정미경,대전광역시 서구 정림서로 195,21,서구
시티팰리스2차,대전광역시 서구 갈마로 23,72,서구
천년나무1단지,대전광역시 서구 구봉산북로 212,1106,서구
효성해링턴플레이스,대전광역시 서구 관저동로 12,460,서구
정림동 평화아파트,대전광역시 서구 구봉로 451,71,서구
중흥S클래스 프라디움,대전광역시 서구 관저남로12번길 12,228,서구
도솔타운,대전광역시 서구 계백로1307번길 22-43,28,서구
㈜대상,대전광역시 서구 도마10길 17,24,서구
에코빌,대전광역시 서구 문정로90번길 77,48,서구
다온숲,대전광역시 서구 구봉산북로 165,1401,서구
시티팰리스,대전광역시 서구 만년로68번길 58,99,서구
리마라이프,대전광역시 서구 대덕대로175번길 30,80,서구
시티팰리스,대전광역시 서구 만년로68번길 62,99,서구
더하임,대전광역시 서구 대덕대로185번길 62,98,서구
아이브,대전광역시 서구 갈마역로 6,70,서구
더펠리스,대전광역시 서구 대덕대로195번길 63,80,서구
관저어반힐스,대전광역시 서구 관저남로 80,819,서구
시티팰리스 7차,대전광역시 서구 둔산서로 33,108,서구
천년나무행복1단지,대전광역시 서구 계백로 1111,182,서구
관저 예미지,대전광역시 서구 관저중로 33,994,서구
휴안 도시형생활주택,대전광역시 서구 도마로63번길 76,44,서구
더퍼스트주상복합아파트,대전광역시 서구 문정로2번길 127,80,서구
민송빌라트,대전광역시 서구 도마로63번길 12,29,서구
라임해피트리1차,대전광역시 서구 계룡로620번길 29,57,서구
관저더샵,대전광역시 서구 관저서로 19,954,서구
센터포레,대전광역시 서구 대전 서구 도솔로279번길 29,20,서구
평화로운나날,대전광역시 서구 괴정로 123,60,서구
휴리움,대전광역시 서구 신갈마로 186,301,서구
수팰리스,대전광역시 서구 탄방로 26,66,서구
유진쉐르빌,대전광역시 서구 도솔5길 96,24,서구
빅토리아빌,대전광역시 서구 계룡로264번길 61,82,서구
관저더샵2차,대전광역시 서구 구봉산북로 52,954,서구
현대에코타운,대전광역시 서구 도산로452번길 17,28,서구
티하우스,대전광역시 서구 대전 서구 도솔로245번길 57,43,서구
프라임시티,대전광역시 서구 대덕대로195번길 58,187,서구
다온채,대전광역시 서구 문정로 26,45,서구
복수센트럴자이,대전광역시 서구 대전 서구 복수서로 15,1102,서구
나이스팰리스,대전광역시 서구 도솔로388번길 52,204,서구
시티팰리스8차,대전광역시 서구 신갈마로 176,156,서구
어번던스힐,대전광역시 서구 변동중로 36,46,서구
디안더블레스,대전광역시 서구 갈마로 39,187,서구
에코리움,대전광역시 서구 계룡로264번길 28-38,49,서구
e편한세상 1단지,대전광역시 서구 계룡로615번길 69,348,서구
e편한세상 2단지,대전광역시 서구 계룡로615번길 82,428,서구
안상스위트홈,대전광역시 서구 대신4길 5,112,서구
그레이스K2차,대전광역시 서구 둔산대로117번길 82,68,서구
토르,대전광역시 서구 괴정로22번길 20,28,서구
더빅토리아,대전광역시 서구 계룡로264번길 89,22,서구
트리풀시티레이크포레,대전광역시 서구 도안동로 234,1762,서구
용문동 도시형생활주택,대전광역시 서구 도산로341번길 30,29,서구
BL 캐슬,대전광역시 서구 갈마로219번길 29,36,서구
행복한 가,대전광역시 서구 갈마로219번길 25,36,서구
그레이스 K5,대전광역시 서구 만년로68번길 52,78,서구
씨티캐슬,대전광역시 서구 갈마로 180,26,서구
도마e편한세상포레나,대전광역시 서구 도산로8,1881,서구
씨티캐슬,대전광역시 서구 용문로94,20,서구
리체스트,대전광역시 서구 계룡로 632,88,서구
LH임대주택,대전광역시 서구 계룡로636번길 14-7,128,서구
호반써밋그랜드센트럴,대전광역시 서구 도산로 79,1558,서구
